Episode Name,Episode Number,Episode Type,Date Aired,Transcript URL
PILOT,1X79,Mythos,1993/09/10,transcrp/scrp179.htm
DEEP THROAT,1X01,Mythos,1993/09/17,transcrp/scrp101.htm
SQUEEZE,1X02,MOTW,1993/09/24,transcrp/scrp102.htm
CONDUIT,1X03,Mythos,1993/10/01,transcrp/scrp103.htm
THE JERSEY DEVIL,1X04,MOTW,1993/10/08,transcrp/scrp104.htm
SHADOWS,1X05,MOTW,1993/10/22,transcrp/scrp105.htm
GHOST IN THE MACHINE,1X06,MOTW,1993/10/29,transcrp/scrp106.htm
ICE,1X07,MOTW,1993/11/05,transcrp/scrp107.htm
SPACE,1X08,MOTW,1993/11/12,transcrp/scrp108.htm
FALLEN ANGEL,1X09,Mythos,1993/11/19,transcrp/scrp109.htm
EVE,1X10,MOTW,1993/12/10,transcrp/scrp110.htm
FIRE,1X11,MOTW,1993/12/17,transcrp/scrp111.htm
BEYOND THE SEA,1X12,MOTW,1994/01/07,transcrp/scrp112.htm
GENDERBENDER,1X13,MOTW,1994/01/21,transcrp/scrp113.htm
LAZARUS,1X14,MOTW,1994/02/04,transcrp/scrp114.htm
YOUNG AT HEART,1X15,MOTW,1994/02/11,transcrp/scrp115.htm
E.B.E.,1X16,Mythos,1994/02/18,transcrp/scrp116.htm
MIRACLE MAN,1X17,MOTW,1994/03/18,transcrp/scrp117.htm
SHAPES,1X18,MOTW,1994/04/01,transcrp/scrp118.htm
DARKNESS FALLS,1X19,MOTW,1994/04/15,transcrp/scrp119.htm
TOOMS,1X20,MOTW,1994/04/22,transcrp/scrp120.htm
BORN AGAIN,1X21,MOTW,1994/04/29,transcrp/scrp121.htm
ROLAND,1X22,MOTW,1994/05/06,transcrp/scrp122.htm
THE ERLENMEYER FLASK,1X23,Mythos,1994/05/13,transcrp/scrp123.htm
LITTLE GREEN MEN,2X01,Mythos,1994/09/16,transcrp/scrp201.htm
THE HOST,2X02,MOTW,1994/09/23,transcrp/scrp202.htm
BLOOD,2X03,MOTW,1994/09/30,transcrp/scrp203.htm
SLEEPLESS,2X04,Mythos,1994/10/07,transcrp/scrp204.htm
DUANE BARRY,2X05,Mythos,1994/10/14,transcrp/scrp205.htm
ASCENSION,2X06,Mythos,1994/10/21,transcrp/scrp206.htm
3,2X07,MOTW,1994/11/04,transcrp/scrp207.htm
ONE BREATH,2X08,Mythos,1994/11/11,transcrp/scrp208.htm
FIREWALKER,2X09,MOTW,1994/11/18,transcrp/scrp209.htm
RED MUSEUM,2X10,Mythos,1994/12/09,transcrp/scrp210.htm
EXCELSIUS DEI,2X11,MOTW,1994/12/16,transcrp/scrp211.htm
AUBREY,2X12,MOTW,1995/01/06,transcrp/scrp212.htm
IRRESISTIBLE,2X13,MOTW,1995/01/13,transcrp/scrp213.htm
DIE HAND DIE VERLETZT,2X14,MOTW,1995/01/27,transcrp/scrp214.htm
FRESH BONES,2X15,MOTW,1995/02/03,transcrp/scrp215.htm
COLONY,2X16,Mythos,1995/02/10,transcrp/scrp216.htm
END GAME,2X17,Mythos,1995/02/17,transcrp/scrp217.htm
FEARFUL SYMMETRY,2X18,MOTW,1995/02/24,transcrp/scrp218.htm
DOD KALM,2X19,MOTW,1995/03/10,transcrp/scrp219.htm
HUMBUG,2X20,MOTW,1995/03/31,transcrp/scrp220.htm
THE CALUSARI,2X21,MOTW,1995/04/14,transcrp/scrp221.htm
F. EMASCULATA,2X22,MOTW,1995/04/28,transcrp/scrp222.htm
SOFT LIGHT,2X23,MOTW,1995/05/05,transcrp/scrp223.htm
OUR TOWN,2X24,MOTW,1995/05/12,transcrp/scrp224.htm
