Episode Number,Scene Number,Scene Description
1X79,Scene 1,"COLLUM NATIONAL FOREST, NORTHWEST OREGON"
1X79,Scene 2,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X79,Scene 3,AIRPLANE TO OREGON
1X79,Scene 4,"BELLEFLEUR, OREGON"
1X79,Scene 5,"COASTAL NORTHWEST OREGON; MARCH 7, 1992"
1X79,Scene 6,10:56 P.M.
1X79,Scene 7,SCULLY'S HOTEL ROOM
1X79,Scene 8,RAYMON COUNTY; STATE PSYCHIATRIC HOSPITAL
1X79,Scene 9,"COLLUM NATIONAL FOREST, NORTHWEST OREGON"
1X79,Scene 10,SCULLY'S HOTEL ROOM
1X79,Scene 11,MULDER'S HOTEL ROOM
1X79,Scene 12,"RURAL HIGHWAY 133 BELLEFLEUR, OREGON"
1X79,Scene 13,HOTEL
1X79,Scene 14,DINER
1X79,Scene 15,CEMETARY; 5:07
1X79,Scene 16,RAYMON COUNTY; STATE PSYCHIATRIC HOSPITAL
1X79,Scene 17,"COLLUM NATIONAL FOREST, NORTHWEST OREGON"
1X79,Scene 18,"MARCH 22, 1992 FBI HEADQUARTERS; WASHINGTON, D.C."
1X79,Scene 19,"SECTION CHIEF BLEVINS' OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X79,Scene 20,SCULLY'S APARTMENT
1X79,Scene 21,HIDDEN ROOM
1X01,Scene 1,NEAR ELLENS AIR BASE SOUTHWEST IDAHO
1X01,Scene 2,"WASHINGTON, D.C."
1X01,Scene 3,
1X01,Scene 4,
1X01,Scene 5,FBI HEADQUARTERS
1X01,Scene 6,MARRIETTE FIELD SOUTHWEST IDAHO
1X01,Scene 7,VERLA McLENNEN'S HOUSE
1X01,Scene 8,BEECH GROVE MOTEL SCULLY'S ROOM
1X01,Scene 9,
1X01,Scene 10,FLYING SAUCER DINER
1X01,Scene 11,OUTSIDE ELLENS AIR BASE 6:04 p.m.
1X01,Scene 12,5:02 a.m.
1X01,Scene 13,
1X01,Scene 14,BEECH GROVE MOTEL
1X01,Scene 15,
1X01,Scene 16,
1X01,Scene 17,
1X01,Scene 18,
1X01,Scene 19,
1X01,Scene 20,6:30 a.m.
1X01,Scene 21,
1X01,Scene 22,
1X01,Scene 23,
1X01,Scene 24,FBI HEADQUARTERS WASHINGTON D.C. ONE WEEK LATER
1X01,Scene 25,
1X02,Scene 1,"BALTIMORE, MD"
1X02,Scene 2,"WASHINGTON, D.C."
1X02,Scene 3,"CRIME SCENE GEORGE USHER'S OFFICE BALTIMORE, MD"
1X02,Scene 4,X-FILES OFFICE
1X02,Scene 5,SCULLY'S APARTMENT
1X02,Scene 6,CRIME SCENE 7:15 P.M.
1X02,Scene 7,"FBI BUREAU BALTIMORE, MD"
1X02,Scene 8,METROPOLITAN POLICE DEPARTMENT
1X02,Scene 9,
1X02,Scene 10,
1X02,Scene 11,"LYNNE ACRES RETIREMENT HOME BALTIMORE, MD"
1X02,Scene 12,
1X02,Scene 13,"66 EXETER ST., 11:30 A.M."
1X02,Scene 14,
1X02,Scene 15,"66 EXETER ST., 7:25 P.M."
1X02,Scene 16,"LYNNE ACRES RETIREMENT HOME BALTIMORE, MD"
1X03,Scene 1,
1X03,Scene 2,"FBI HEADQUARTERS WASHINGTON, D.C."
1X03,Scene 3,X-FILES OFFICE
1X03,Scene 4,"SIOUX CITY, IA"
1X03,Scene 5,SIOUX CITY SHERIFF'S DEPARTMENT
1X03,Scene 6,THE PENNSYLVANIA PUB
1X03,Scene 7,STAY `N SAVE MOTOR INN 5:30 A.M.
1X03,Scene 8,DARLENE MORRIS' HOUSE KEVIN'S ROOM
1X03,Scene 9,"FBI REGIONAL HEADQUARTERS SIOUX CITY, IA"
1X03,Scene 10,EXIT 68. SIOUX CITY DOWNTOWN
